iter	Passed	Remaining
0	375	236099
1	685	215231
2	983	205485
3	1277	199995
4	1535	191973
5	1781	185246
6	2001	178112
7	2325	180789
8	2619	180723
9	2976	184564
10	3281	184678
11	3659	188489
12	4461	211726
13	4874	214462
14	5195	213013
15	5495	210884
16	5788	208716
17	6069	206365
18	6402	205900
19	6708	204624
20	6962	201917
21	7213	199361
22	7488	197621
23	7761	195983
24	8004	193706
25	8262	191942
26	8506	189989
27	8807	189351
28	9057	187710
29	9340	186808
30	9586	185237
31	9856	184193
32	10067	182127
33	10339	181248
34	10616	180477
35	10951	180702
36	11261	180484
37	11505	179247
38	11751	178076
39	12012	177191
40	12264	176182
41	12533	175465
42	12874	175755
43	13213	175983
44	13547	176121
45	13856	175915
46	14836	184035
47	15157	183778
48	15475	183494
49	15744	182636
50	16002	181674
51	16256	180700
52	16539	180065
53	16802	179229
54	17101	178789
55	17320	177533
56	17610	177035
57	17866	176198
58	18082	175004
59	18347	174301
60	18599	173492
61	18869	172870
62	19123	172107
63	19395	171531
64	19640	170718
65	19902	170076
66	20180	169573
67	20443	168962
68	20650	167894
69	20942	167542
70	21182	166778
71	21447	166218
72	21728	165793
73	21992	165240
74	22263	164750
75	22517	164139
76	22756	163430
77	23008	162829
78	23327	162703
79	23638	162517
80	23930	162195
81	24233	161950
82	24552	161810
83	25425	165264
84	25759	165164
85	26055	164817
86	26305	164184
87	26561	163596
88	26674	162144
89	26930	161582
90	27186	161029
91	27471	160648
92	27746	160214
93	28017	159762
94	28085	158166
95	28326	157568
96	28526	156747
97	28773	156199
98	29021	155660
99	29276	155167
100	29524	154640
101	29798	154250
102	30041	153706
103	30315	153327
104	30619	153096
105	30999	153241
106	31216	152581
107	31444	151979
108	31729	151658
109	32102	151759
110	32451	151732
111	32789	151652
112	33026	151102
113	33395	151160
114	33821	151462
115	34277	151886
116	34664	151992
117	35166	152588
118	36191	155409
119	36487	155072
120	36942	155404
121	37299	155313
122	37611	155031
123	37926	154764
124	38195	154309
125	38488	153955
126	38777	153585
127	39147	153530
128	39403	153030
129	39646	152485
130	39868	151863
131	40115	151343
132	40373	150870
133	40637	150421
134	40928	150071
135	41224	149742
136	41522	149421
137	41767	148908
138	42015	148414
139	42269	147942
140	42481	147328
141	42711	146782
142	42974	146352
143	43229	145899
144	43487	145459
145	43773	145110
146	44056	144756
147	44364	144483
148	44828	144714
149	45322	145032
150	45694	144950
151	46065	144865
152	47016	146579
153	47337	146315
154	47687	146138
155	47931	145638
156	48170	145126
157	48443	144716
158	48784	144512
159	49022	144002
160	49289	143581
161	49548	143139
162	49817	142727
163	50094	142340
164	50360	141926
165	50613	141473
166	50847	140972
167	51115	140568
168	51366	140117
169	51618	139672
170	51855	139190
171	52121	138788
172	52376	138358
173	52649	137976
174	52887	137507
175	53158	137125
176	53408	136689
177	53674	136296
178	53955	135944
179	54184	135461
180	54399	134946
181	54670	134573
182	54915	134138
183	55154	133690
184	55447	133373
185	55772	133135
186	56079	132852
187	56389	132575
188	56736	132384
189	57620	133437
190	57933	133156
191	58259	132905
192	58486	132427
193	58704	131933
194	58984	131581
195	59241	131177
196	59491	130761
197	59787	130444
198	60035	130026
199	60308	129664
200	60580	129299
201	60875	128984
202	61066	128449
203	61307	128023
204	61560	127626
205	61777	127153
206	61997	126690
207	62256	126308
208	62516	125930
209	62775	125551
210	62938	124982
211	63135	124483
212	63384	124090
213	63692	123813
214	63945	123428
215	64161	122977
216	64408	122584
217	64678	122236
218	64902	121803
219	65161	121436
220	65410	121053
221	65636	120628
222	65855	120193
223	66174	119941
224	66478	119661
225	66744	119313
226	67079	119087
227	68086	120047
228	68353	119692
229	68645	119383
230	68874	118965
231	69103	118548
232	69388	118229
233	69661	117889
234	69934	117548
235	70043	116937
236	70292	116560
237	70536	116178
238	70780	115795
239	71009	115390
240	71278	115050
241	71500	114637
242	71693	114178
243	71955	113831
244	72131	113349
245	72387	112995
246	72653	112657
247	72932	112339
248	73187	111985
249	73438	111625
250	73722	111317
251	73852	110779
252	74098	110415
253	74343	110052
254	74587	109686
255	74826	109317
256	75111	109014
257	75350	108644
258	75588	108274
259	75817	107893
260	76078	107559
261	76167	106982
262	76459	106694
263	76772	106435
264	77075	106160
265	77387	105898
266	78308	106463
267	78615	106188
268	78949	105950
269	79020	105361
270	79277	105020
271	79557	104712
272	79843	104410
273	80128	104109
274	80391	103777
275	80629	103415
276	80902	103099
277	81163	102768
278	81387	102390
279	81648	102060
280	81905	101726
281	82041	101242
282	82313	100928
